title,link
2026시즌 새롭게 시작하는 롯데 자이언츠 [O! SPORTS 숏폼] - 조선일보,https://news.google.com/rss/articles/CBMigwFBVV95cUxONGJYYklDR1FKSmFLSWI4RjZ5T3JXR2xkR1dFNmVMSm1oUGVUbGx2eVZhb2JKX2lWcDd6blNwWi1wRXJyVllNb2tKY2NzZm9SSTU4MkRpcHhSMFBEVkRKbmdPQkY4T2N4TzZObWt0SUNUeUIxS01SR1ZSbV9KVVJPLW80c9IBlwFBVV95cUxOSkVBOTRKa19qT3pRNVpCSGJrclpCOHp0SlVrcDJqR3NUWUhWRWM2N3N0MGdQMmxPeFJFLXktZmJEbUNCTUpYTmZNY185WFBPcnAtWk9lRE9HdlBhckU0dUpiTkY1clRYNjNHX0VhTE5pbGFSVFd4TlFFbUlkN2NVSEgyU19EUzNKQXVoUW1oa01lMDRoUG9v?oc=5
"'FA 대신 日커넥션 총동원' 롯데가 택한 28세 외인, 150㎞ 강속구는 볼만한데…""위기 버텨내는 구위가 좋다"" 호평 [부산포커스] - 조선일보",https://news.google.com/rss/articles/CBMigwFBVV95cUxPYTVyd0dhOEFYLUlkTzJKQU54X3Y0dGJ2elhaMUt0RXQ1MVNBTTFhOVVJUzdUVHM3alpsS08wY2xaNlM3RDBld1NKUUVPQVRLYjVoLTIzaHpwaE83ZWNZNDNwVEwySVBNSnl6ZUtRQm9odUpuMWxFQzBIeDhNRlgwNE43b9IBlwFBVV95cUxPNFNnM01YN3pwRVVBcmw1QkpiZ19zRHpYTjZfdEdEQk9RMDJLVEhudnNwSzJfczQycndmc3dfcGM0WFFmRlRrLWRGcER6eVkzSURhTEE5ajltcEM1bWJmSGQ0NC13MVJ3WExEaEFjR0NSQkpmMG5GMkxDVFFBRGpXVVZkbGZMWm1fQnRLaWJQUEc0WkVFS1E4?oc=5
"‘최동원 유니폼’ 입은 한동훈, 사직구장 깜짝 등장…팝콘 먹고 시민들과 셀카 - 서울경제신문",https://news.google.com/rss/articles/CBMiUkFVX3lxTE1oRGtfVXRQRURkc3Vhd2lPN190STZmRjliWUpZUXltMlA2MTFoMFdIWmZIY3EyX1F4WWxEeG1jZjV2OFA2VmtvSHlreXY2S2thVVHSAVNBVV95cUxPaEg0MXFlQlFLWXFFSXRmT3RYN1FOOHhDdW5odTE1OUxjc0lzcmFvVFB6N1RjNlBoSjN4MGV2RExhV2dCRjFOSnFoQ0dQdzdNdzFJVQ?oc=5
"[AI상보] 롯데 장단 17안타, 키움에 12-1 대승…시범경기 무패 행진 - 네이트",https://news.google.com/rss/articles/CBMiXEFVX3lxTE9DeEtaTW93cUNhNkRTT0FKaFBsZjdFaVplVDNCbzlRZVR1cmtWZEtDY0VMYXpRR194Y2JzajE5TVhubEJpVWN5MHN5Ni1pMmlfS0hVQmxxeWlKazhL?oc=5
십수년 롯데자이언츠 팬인데 남편이 응원팀을 바꾸자고 한다 - OhmyNews,https://news.google.com/rss/articles/CBMid0FVX3lxTE9GeEN0SzZFeTZJd1Jjc3BRal9Yd3hoczhKbDJ4ZlRKXzl1bXJLUmt2Q1Zpamk0Mm1RVGtoNjE4amYxUXBpSVR1QUZDTXRzV1FiWTdqckNrTHV0aGQwaGs1emZJdVMtYjZUcHp3S0swZUY3dWw3UHp3?oc=5
"'장단 17안타' 롯데, 키움 12-1 완파…시범경기 4연승·선두 질주 - 네이트",https://news.google.com/rss/articles/CBMiXEFVX3lxTFBSQkhUQzRqSHFxVTk3LW00XzEtOVhIbzBOY3lIN1pjQ2d6dDR5X2FMYzhTYUNXS2tOX0pIRVg1cU1ZTlBXVlJmUFVkSDdSVjR3ak1OTE5kQ3BkdTRn?oc=5
"'승무승승승' 시범경기 무패 행진…롯데의 봄 미쳤다, '장단 17안타-12득점' 12-1 대승 [부산 리뷰] - 네이트",https://news.google.com/rss/articles/CBMiYEFVX3lxTFA5UndyRm9PX3YydkJ2czZMNmE4Q1dkQVRjZDFVLVRlc2FqTXZvWmI5ckdseUhSeVVqTDUyRUk1QjFkalV4YjYwakc1UTU0R0gtNzRuM080REVUZDdyTzQ5MQ?oc=5
"""내 유니폼 입은 팬들 보면 없던 힘도 솟는다"" 1사 만루 무실점 → 1⅔이닝 퍼펙트! '믿을맨' 정철원의 뜨거운 진심 [부산코멘트] - 조선일보",https://news.google.com/rss/articles/CBMigwFBVV95cUxPZEZKRmYtUWI5QUhqVDA4QXlJdHFpVzRGYUI4RWNUbWpUeWlVTFBaUlZtMHllRlVEZko5QjExQzR1ZGxsU1pwOUN3dzh1X2tzQ0pmejAwdkpwZ1p5UzZ4TzVacXk1VHRhTWJnbHRvM19EZlJJMGdndTJUc3F1WGJyODJHNNIBlwFBVV95cUxPTlhrUVI5ZGJza01lSFBsejQ3MmE5WVpHT2o0SF9QVU1NVEM4S2ZndHNseV9PMmhVMHFMRlR6S3l1c1gtbmVGWVJib2VnTHhZSktjUHh0X3pzMWhtYzBMcEtNYmxuU1JULXFoSFAxUWtLRU41dVFNR2tjYWNjbVpLT0Y3WjNVMlgtTjFlTlhCR29USktOaElj?oc=5
"[영상] 봄이 왔다, 롯데 시범경기 3연승 단독 선두 - v.daum.net",https://news.google.com/rss/articles/CBMiRkFVX3lxTE1Ib3owZFVYMXl5dURyQ3BFMElZWTNBX0dFTE9hNklhVDhLMFJneFZQZ0wzYkxfV1p0YWpwdWZxRjNqQmQxcFE?oc=5
'허를 찔렀다!' 롯데의 윗선 징계는 '신의 한 수'...구단과 4인방 모두 지켜 - v.daum.net,https://news.google.com/rss/articles/CBMiRkFVX3lxTFA0Sk5OZlhZSTM2R012WVMzMjdPc2VlZlpZRnR1U2tiTlVmZVVCdE5vNlpTdzBLbTEyTl9IWklKaXVWcTRra2c?oc=5
